GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
unittests,unittests,Produto,0,45,0,0,0,16,0,8,0,8
unittests,unittests,Estoque,0,44,0,4,0,12,0,7,0,5
